,内容,資料,発表姿勢,文章の体裁,表現の推敲,合計
1,2.791666667,2.791666667,2.791666667,2.666666667,2.791666667,13.83333333
2,2.916666667,2.625,2.833333333,2.666666667,2.708333333,13.75
3,2.708333333,2.625,2.75,2.583333333,2.666666667,13.25
4,2.47826087,2.434782609,2.52173913,2.434782609,2.695652174,12.04166667
5,2.818181818,2.590909091,2.681818182,2.454545455,2.636363636,12.08333333
6,2.565217391,2.608695652,2.956521739,2.47826087,2.608695652,12.66666667
7,2.739130435,2.652173913,2.47826087,2.652173913,2.782608696,12.75
8,2.043478261,2.043478261,1.695652174,2.043478261,2.304347826,9.375
9,2.375,2.291666667,2.5,2.375,2.458333333,12
10,2.363636364,2.5,2.409090909,2.454545455,2.5,11.20833333
11,2.666666667,2.625,2.625,2.5,2.625,13.04166667
12,2.47826087,2.52173913,2.47826087,2.47826087,2.47826087,11.91666667
13,2.916666667,2.833333333,2.875,2.791666667,2.916666667,14.33333333
14,2.695652174,2.47826087,2.652173913,2.391304348,2.608695652,12.29166667
15,2.875,2.791666667,2.791666667,2.625,2.708333333,13.79166667
16,2.818181818,2.954545455,2.772727273,2.636363636,2.772727273,12.79166667
17,2.75,2.791666667,2.583333333,2.333333333,2.565217391,12.91666667
18,2.869565217,2.913043478,2.913043478,2.652173913,2.782608696,13.54166667
19,2.869565217,2.52173913,2.739130435,2.52173913,2.695652174,12.79166667
20,2.652173913,2.608695652,2.782608696,2.47826087,2.652173913,12.625
21,2.681818182,2.409090909,2.454545455,2.409090909,2.590909091,11.5
22,2.75,2.791666667,2.833333333,2.708333333,2.791666667,13.875
23,2.625,2.625,2.708333333,2.541666667,2.666666667,13.16666667
24,2.782608696,2.695652174,2.739130435,2.590909091,2.739130435,12.875
25,2.954545455,2.954545455,3,2.727272727,3,13.41666667
26,2.727272727,2.636363636,2.590909091,2.409090909,2.409090909,11.70833333
27,2.652173913,2.608695652,2.739130435,2.565217391,2.565217391,13.13043478
28,2.909090909,2.590909091,2.863636364,2.818181818,2.727272727,12.75
29,2.782608696,2.608695652,2.739130435,2.565217391,2.826086957,12.95833333
30,2.608695652,2.608695652,2.608695652,2.47826087,2.695652174,12.45833333
31,2.347826087,2.043478261,2.086956522,2,2.304347826,10.33333333
32,2.636363636,2.636363636,1.909090909,2.454545455,2.636363636,11.25
33,2.826086957,2.695652174,2.652173913,2.652173913,2.652173913,12.91666667
35,2.826086957,2.652173913,2.826086957,2.52173913,2.608695652,12.875
36,2.739130435,2.652173913,2.652173913,2.52173913,2.739130435,12.75
37,2.869565217,2.909090909,2.863636364,2.727272727,2.714285714,12.91666667
38,2.739130435,2.608695652,2.608695652,2.608695652,2.652173913,12.66666667
39,2.565217391,2.347826087,2.652173913,2.391304348,2.47826087,11.91666667
40,2.565217391,2.52173913,2.565217391,2.565217391,2.652173913,12.33333333
